benchmark,mode,baseDocs,bucketCapacity,docs,n,seed,threshold,wordsPerDoc,score,scoreError,unit
bench.LshBenchmark.nearDuplicatesLsh,avgt,,,1000.0,,42,0.9,12.0,10.752098768913774,0.24303828045844403,ms/op
bench.LshBenchmark.nearDuplicatesLsh,avgt,,,3000.0,,42,0.9,12.0,127.44682683333333,9.633958665580295,ms/op
bench.LshBenchmark.nearDuplicatesLsh,thrpt,,,1000.0,,42,0.9,12.0,0.08861424154888056,0.001694761888724321,ops/ms
bench.LshBenchmark.nearDuplicatesLsh,thrpt,,,3000.0,,42,0.9,12.0,0.007918368433502677,0.0004229868783313059,ops/ms
bench.PerfectHashingBenchmark.buildIndex,avgt,,,,10000.0,42,,,306.06781018615465,3.572035322313835,us/op
bench.PerfectHashingBenchmark.buildIndex,avgt,,,,50000.0,42,,,1579.8473171084952,17.94930652291669,us/op
bench.PerfectHashingBenchmark.buildIndex,thrpt,,,,10000.0,42,,,0.0032631674355647075,2.6686797835196687e-05,ops/us
bench.PerfectHashingBenchmark.buildIndex,thrpt,,,,50000.0,42,,,0.0006401442428765851,9.30327579538557e-06,ops/us
bench.PerfectHashingBenchmark.containsHit,avgt,,,,10000.0,42,,,0.007605787506810109,0.00020214170287038717,us/op
bench.PerfectHashingBenchmark.containsHit,avgt,,,,50000.0,42,,,0.008180639459661954,0.00041107750875086536,us/op
bench.PerfectHashingBenchmark.containsHit,thrpt,,,,10000.0,42,,,133.98605384518893,9.302957730132094,ops/us
bench.PerfectHashingBenchmark.containsHit,thrpt,,,,50000.0,42,,,119.84544005699154,5.277487408925613,ops/us
bench.PerfectHashingBenchmark.containsMiss,avgt,,,,10000.0,42,,,0.004428639841708643,0.00030094947374324896,us/op
bench.PerfectHashingBenchmark.containsMiss,avgt,,,,50000.0,42,,,0.011987918164945226,0.0011190408759244198,us/op
bench.PerfectHashingBenchmark.containsMiss,thrpt,,,,10000.0,42,,,222.9820801395997,17.007353013826826,ops/us
bench.PerfectHashingBenchmark.containsMiss,thrpt,,,,50000.0,42,,,84.80634845818834,5.621319845874044,ops/us
bench.PerfectHashingBenchmark.getHit,avgt,,,,10000.0,42,,,0.008277678258984044,0.0005969763247063444,us/op
bench.PerfectHashingBenchmark.getHit,avgt,,,,50000.0,42,,,0.008954676540886414,0.0004426142276785743,us/op
bench.PerfectHashingBenchmark.getHit,thrpt,,,,10000.0,42,,,122.36561499451018,6.626286360732109,ops/us
bench.PerfectHashingBenchmark.getHit,thrpt,,,,50000.0,42,,,108.55732077786153,10.759055286298846,ops/us
bench.PerfectHashingBenchmark.getMiss,avgt,,,,10000.0,42,,,0.004441085263571458,0.000541982614390785,us/op
bench.PerfectHashingBenchmark.getMiss,avgt,,,,50000.0,42,,,0.011843522584915242,0.0009584298331670703,us/op
bench.PerfectHashingBenchmark.getMiss,thrpt,,,,10000.0,42,,,227.62783172641144,12.338198692754334,ops/us
bench.PerfectHashingBenchmark.getMiss,thrpt,,,,50000.0,42,,,84.44065231622534,5.212861630743507,ops/us
