benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,29.2497380226943,0.46953723497945016,ops/us,24,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,27.824707180424067,0.29573554350557024,ops/us,24,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,34.891775707096464,0.8344067597249162,ops/us,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.024527905104429662,0.0008173577035289954,us/op,8,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.02072336461964436,0.00023284896045911308,us/op,8,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.021595815968547646,0.0002485859895040278,us/op,8,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.026781915382802068,0.00036076979534549166,us/op,8,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.021833397861796045,0.00022449440040156365,us/op,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.023622422315527514,0.0001908704884752761,us/op,12,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,12,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.02099473316445995,0.00020805310454475622,us/op,12,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,12,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.027839472918989167,0.00038630272321177117,us/op,12,140000,42,,,,
